,file,shot_id,character,avg_confidence
0,5313398531435045858.mp4,247,Tanya Branning,0.7788993371483138
1,5313398531435045858.mp4,249,Tanya Branning,0.7944523277715662
2,5313398531435045858.mp4,535,Archie Mitchell,0.8936118237153452
3,5313398531435045858.mp4,657,Archie Mitchell,0.8291772127179767
4,5313398531435045858.mp4,659,Archie Mitchell,0.8556611446883764
5,5313398531435045858.mp4,665,Archie Mitchell,0.8475817303299024
6,5313398531435045858.mp4,667,Archie Mitchell,0.9072232542852655
7,5313398531435045858.mp4,784,Archie Mitchell,0.8042015821823773
8,5313398531435045858.mp4,793,Archie Mitchell,0.7606760404430445
9,5313398531435045858.mp4,992,Archie Mitchell,0.9580688184021494
10,5313398531435045858.mp4,998,Archie Mitchell,0.856920584235179
11,5313398531435045858.mp4,1031,Archie Mitchell,0.7121812373506615
12,5313398531435045858.mp4,1089,Archie Mitchell,0.7590711920916765
13,5313398531435045858.mp4,1091,Archie Mitchell,0.805152247560374
14,5313398531435045858.mp4,821,Heather Peterson,0.7226181256146935
15,5313398531435045858.mp4,823,Heather Peterson,0.8667196146986377
16,5313398531435045858.mp4,351,Zainab Masood,0.7101196668889288
17,5313398531435045858.mp4,1237,Linda Clarke,0.7506138782057601
18,5313398531435045858.mp4,351,Masood Ahmed,0.9534483742603673
19,5313398531435045858.mp4,301,Danielle Jones,0.8006902442729783
20,5313398531435045858.mp4,114,Dawn Swann,0.7045476978653484
21,5313398531435045858.mp4,116,Dawn Swann,0.8880226408836854
22,5313398531435045858.mp4,282,Phil Mitchell,0.8224104610383581
23,5313398531435045858.mp4,328,Phil Mitchell,0.9062743211377488
24,5313398531435045858.mp4,333,Phil Mitchell,0.7026816996983517
25,5313398531435045858.mp4,334,Phil Mitchell,0.86222305480959
26,5313398531435045858.mp4,34,Jean Slater,0.8561419312688826
27,5313398531435045858.mp4,110,Jean Slater,0.7263322100013577
28,5313398531435045858.mp4,267,Jean Slater,0.8284189617677945
29,5313398531435045858.mp4,269,Jean Slater,0.8524167129569232
30,5313398531435045858.mp4,273,Jean Slater,0.7038376484178661
31,5313398531435045858.mp4,1109,Jay Brown,0.7016325072959207
32,5258818087037440299.mp4,170,Tanya Branning,0.8187188776464801
33,5258818087037440299.mp4,671,Tanya Branning,0.7334798820223939
34,5258818087037440299.mp4,681,Tanya Branning,0.8511187613444268
35,5258818087037440299.mp4,724,Tanya Branning,0.8374627955955399
36,5258818087037440299.mp4,1215,Tanya Branning,0.7605999217008509
37,5258818087037440299.mp4,1520,Tanya Branning,0.7863683900904892
38,5258818087037440299.mp4,1637,Tanya Branning,0.767985376256603
39,5258818087037440299.mp4,1738,Tanya Branning,0.766401903634268
40,5258818087037440299.mp4,1892,Tanya Branning,0.7982292048438665
41,5258818087037440299.mp4,23,Archie Mitchell,0.9057133288606601
42,5258818087037440299.mp4,25,Archie Mitchell,0.931355771304274
43,5258818087037440299.mp4,27,Archie Mitchell,0.9227046981300228
44,5258818087037440299.mp4,382,Archie Mitchell,0.8192549072389177
45,5258818087037440299.mp4,393,Archie Mitchell,0.7460789299541594
46,5258818087037440299.mp4,1451,Archie Mitchell,0.7635387792054881
47,5258818087037440299.mp4,1452,Archie Mitchell,0.8343830913287048
48,5258818087037440299.mp4,1453,Archie Mitchell,0.8455129873205839
49,5258818087037440299.mp4,1454,Archie Mitchell,0.7807937074082646
50,5258818087037440299.mp4,1485,Archie Mitchell,0.7459608154365651
51,5258818087037440299.mp4,1777,Archie Mitchell,0.9154389313357019
52,5258818087037440299.mp4,1811,Archie Mitchell,0.7825505916100567
53,5258818087037440299.mp4,791,Mr Lister,0.803023154602899
54,5258818087037440299.mp4,219,Zainab Masood,0.7456080312570125
55,5258818087037440299.mp4,545,Zainab Masood,0.8510916447408646
56,5258818087037440299.mp4,1000,Zainab Masood,0.7286561370809199
57,5258818087037440299.mp4,1003,Zainab Masood,0.8014808507805542
58,5258818087037440299.mp4,650,Masood Ahmed,0.7740748951382369
59,5258818087037440299.mp4,652,Masood Ahmed,0.9392478632149105
60,5258818087037440299.mp4,743,Masood Ahmed,0.7921225833610243
61,5258818087037440299.mp4,745,Masood Ahmed,0.7887241385995537
62,5258818087037440299.mp4,751,Masood Ahmed,0.7112134804887972
63,5258818087037440299.mp4,780,Masood Ahmed,0.7066006746690999
64,5258818087037440299.mp4,1433,Masood Ahmed,0.8938741606381274
65,5258818087037440299.mp4,1435,Masood Ahmed,0.8329863429042748
66,5258818087037440299.mp4,1543,Masood Ahmed,0.7500847163661182
67,5258818087037440299.mp4,1262,Janine Butcher,0.7110959161230656
68,5258818087037440299.mp4,722,Garry Hobbs,0.7887338709313864
69,5258818087037440299.mp4,93,Danielle Jones,0.7769962656838132
70,5258818087037440299.mp4,1364,Jack Branning,0.893475296145465
71,5258818087037440299.mp4,1366,Jack Branning,0.8041801520423949
72,5258818087037440299.mp4,647,Ben Mitchell,0.7949373920022582
73,5258818087037440299.mp4,892,Callum Monks,0.90730313645129
74,5258818087037440299.mp4,913,Callum Monks,0.850072174110364
75,5258818087037440299.mp4,915,Callum Monks,0.7697968250387763
76,5258818087037440299.mp4,1380,Charlie Slater,0.7967344984735094
77,5258818087037440299.mp4,1384,Charlie Slater,0.9073642908296903
78,5258818087037440299.mp4,403,Billy Mitchell,0.7437310437003246
79,5258818087037440299.mp4,415,Billy Mitchell,0.7466037230841911
80,5258818087037440299.mp4,289,Mo Harris,0.700447879594658
81,5258818087037440299.mp4,1255,Max Branning,0.7187944453427226
82,5258818087037440299.mp4,1261,Max Branning,0.7008422358246524
83,5308226531817199474.mp4,1243,Tanya Branning,0.7330701154440207
84,5308226531817199474.mp4,1245,Tanya Branning,0.7582674926369618
85,5308226531817199474.mp4,43,Archie Mitchell,0.9281191194444331
86,5308226531817199474.mp4,99,Archie Mitchell,0.7739083017591061
87,5308226531817199474.mp4,122,Archie Mitchell,0.8662705793682136
88,5308226531817199474.mp4,203,Archie Mitchell,0.9632146275721446
89,5308226531817199474.mp4,1216,Christian Clarke,0.7919882483097682
90,5308226531817199474.mp4,42,Lucas Johnson,0.7511815248896512
91,5308226531817199474.mp4,102,Lucas Johnson,0.9070459916225156
92,5308226531817199474.mp4,117,Lucas Johnson,0.7059727058881541
93,5308226531817199474.mp4,181,Lucas Johnson,0.7799627523015787
94,5308226531817199474.mp4,211,Lucas Johnson,0.8748857085085443
95,5308226531817199474.mp4,225,Lucas Johnson,0.8063407793032192
96,5308226531817199474.mp4,226,Lucas Johnson,0.9252807692742809
