,transcript,filename,unique_id,begin,end,extramarital affair,get divorced,illegitimate child,institutionalized for emotional problem,serious accident,murdered,attempt suicide,blackmailed,unfaithful spouse,abortion,score_max
2,It turns out the bloke who used  to live here killed someone.,5245830105934359183,861_5245830105934359183,00:47:11:01,00:47:14:20,-0.5611113083576995,-0.3801108352773041,-0.46405389428495053,-0.32275612727604075,4.550025457433505,65.44887502513023,-0.37947163458242783,-0.4236848020674236,-0.5173040449510616,-0.2946779536347445,65.44887502513023
11,He's poisoned your mind.  He's made you turn against yourself and your kids...,5274434588125702436,1008_5274434588125702436,00:56:16:07,00:56:20:07,0.9890013091939517,3.1103541462957978,0.0062801410663913685,1.9791557948991958,2.3411377421932955,53.03358910597347,9.662977371876071,4.535697564845569,1.1668819966762816,7.158602766412039,53.03358910597347
14,"You must be,  giving Stacey up like this.",5253646087419594905,1472_5253646087419594905,01:23:25:18,01:23:29:11,4.373073428378438,12.527603654382837,10.950232107200623,2.0561778000761537,3.1590436975467484,43.99957516119686,2.1146802483946634,6.583789313998649,3.049097476492664,21.95189796069484,43.99957516119686
16,"Yeah, well I'm the victim here, Tan.  Me.  That's what you fail to realise. ",5245830105934359183,1567_5245830105934359183,01:24:29:20,01:24:33:13,0.8614936747202269,1.6612946929992511,9.391833186306863,2.4516265523567853,3.9575197166662375,39.3529682871501,1.8973609660192725,5.51141790715881,0.42801219731851486,2.6921035838372536,39.3529682871501
26,"Well, you might have a long wait.  He tried to kill me, Tan.",5264050645694159353,715_5264050645694159353,00:35:20:15,00:35:24:16,1.0145554788524302,0.7537159162952828,0.2565345199053499,2.231416291095099,1.6560559143834395,26.574559242846842,12.94382987734635,3.166959241536963,2.0330140038596554,1.1622805978802886,26.574559242846842
29,"He's stolen my life.  Jack? Yeah, what was I supposed to do, Suze? Oh, what, I'm supposed to stand back,  am I, and let him get away with it?",5251033029316736209,550_5251033029316736209,00:27:31:04,00:27:36:06,1.9234854044917433,-0.28123679222683606,-0.24769601218413728,-0.019051066375710867,-0.006943646311014711,23.865841975699844,-0.14412266487694084,1.4794007469233923,2.8373985198777305,0.030756344153137223,23.865841975699844
45,"Sorry, mate, you've lost me. ",5253646087419594905,273_5253646087419594905,00:16:18:02,00:16:20:05,1.4560338247898288,6.625056175212734,1.002115659310368,3.293465784549587,3.7150080861558474,18.285098743325417,2.1224744816444368,0.9070722632970205,2.364688754903059,1.874516297900378,18.285098743325417
59,Don't you think it's  about time you gave it up?,5251033029316736209,110_5251033029316736209,00:04:56:24,00:05:01:10,3.709758772925544,10.278743542510407,0.6669089914569534,1.2826641509137948,-0.0363131527167293,0.25188921420507226,0.33516128586227906,1.6905371008932728,2.512517224986833,15.97843637077362,15.97843637077362
62,"I ain't got a future, Suze.  That, that was it!",5251033029316736209,552_5251033029316736209,00:27:39:15,00:27:43:20,1.6347398454132132,8.642776132589658,1.7365036176413329,1.3504011278398758,0.8397501060628161,15.491765029947626,3.7100725749568197,0.22928877395686476,2.4339098434486792,0.8571904774244945,15.491765029947626
67,"I can still feel something.  I wonder if you can help me...  with Bradley.  No, I doubt it, I can barely help myself these days.  It ain't hard to see where he gets his self-destruct button from.",5258818087037440299,958_5258818087037440299,00:47:32:19,00:47:46:08,0.8937756291648786,0.148616529792223,0.16448241451484522,0.03947441644728754,-0.014665827820804923,-0.04786324195713113,15.016423695924267,-0.06826816688419439,1.7237159637205106,-0.1591668633119272,15.016423695924267
